Station,AggComposite,AggNina,AggNino,AggNeutral
21185040,33.751568972625066,33.73302065577771,33.76431715618491,33.75754129346031
21195080,33.64985524860648,33.639461894391275,33.66244057933817,33.65020866465467
21195120,24.849558456389918,24.780392874882686,25.071820983214845,24.77572997369126
21195190,19.610712747984852,19.702854971447977,19.74269708866666,19.47362180418566
21205012,19.585115762746362,19.593468045494802,19.588494182928642,19.577411033722214
21205160,20.1861335334968,20.11067624888819,20.411182307743847,20.115176806886947
21205230,19.975751134082014,20.052448555287977,20.056245819825094,19.87779086207915
21205420,19.64028833403287,19.635077261188087,19.744722545778068,19.58649726856437
21205520,19.704258467935297,19.719113360067517,19.83640306358761,19.621180515833963
21205580,18.6374743536393,18.652215678848073,18.648129318041605,18.62129519557191
21205660,30.181591806057597,30.089702557738743,30.505462000686318,30.067785672834994
21205670,21.001258738389595,21.137175899807314,21.074871611160248,20.865629645373343
21205700,18.422465904843467,18.67921379792649,18.291497797127008,18.314774838929406
21205710,20.37038909746858,20.343045480808883,20.41995445680907,20.362268681493088
21205720,16.749142435877392,16.780094270688068,16.8976407533051,16.64580207692469
21205740,17.17264221785607,17.3457509084345,17.03183832592852,17.128908275011312
21205750,19.507028807244083,19.534290536823743,19.61361570884401,19.42932280065837
21205770,18.841135463417316,18.711466057473903,19.03398452914464,18.825837061427666
21205791,19.427640230427624,19.447292646945616,19.560335381100227,19.340901205995102
21205910,18.410546544805065,18.43569302495929,18.445172200810955,18.373899897893857
21205940,18.354406374515094,18.21916883945108,18.538286785808324,18.347938422848614
21205980,19.620412334294343,19.51088572495499,19.78082324873489,19.608854957889598
21206050,19.857539687107852,19.946033855555548,20.10406527872976,19.660004693802428
21206160,22.200474014530627,22.163446854906006,22.374224867032247,22.130830057391982
21206180,21.114331031135404,21.062818576567253,21.25407892018168,21.073528410357646
21206190,20.38982244665558,20.402700456208855,20.399618932961832,20.375419772499843
21206200,19.912414749289713,19.842584781722785,20.06641693067938,19.87659452682224
21206230,19.72102518007643,19.727389093167297,19.72321034663879,19.715368599303524
21206260,19.492655102276647,19.54307803791171,19.489250270214736,19.459231704966147
21206280,16.00053503498265,15.892800745520558,16.134047574278146,16.002517140993596
21206500,19.521198109503928,19.40403354499124,19.72252928973727,19.49248115553448
21206510,19.782409978771838,19.814589004486475,19.851493643197298,19.721888645337593
21206550,21.081950168445413,21.081599323234094,21.156737271628852,21.041062853342446
21206560,19.885873534785233,19.86385955063222,19.990393411899316,19.8437973912796
21206570,19.62157451310085,19.602302780113025,19.685073957358,19.60014003185089
21206600,21.030308838273648,21.07066162203001,21.101312054939402,20.96301012047805
21206610,18.944070239027926,18.980903343346693,19.079741890141,18.843667657892606
21206620,20.959064563754588,20.91058589483014,21.010490424099114,20.964715408812218
21206630,20.36593016884707,20.384293834355287,20.405716299335467,20.331193231222688
21206640,20.694084118299276,20.70998471360222,20.696367238069584,20.681697985713544
21206650,15.219546171698337,15.285633713644051,15.19174843632851,15.18857364678974
21206660,21.379298198243845,21.399310677343927,21.471602041042786,21.31452234933436
21206670,20.641692508632843,20.6293109670538,20.728249464826604,20.60275326183161
21206680,21.26462458220215,21.293034646247616,21.28008689535089,21.236233265138512
21206690,21.39151009942828,21.372872861277425,21.460177800179814,21.366788930720546
21206700,20.76430662813219,20.637195497269687,20.953330478279767,20.74932130215478
21206970,19.830880720661252,19.840495274278755,19.836808886506134,19.820890041914318
21235010,34.69444184812521,34.58542958459929,34.981267716210795,34.612996205146274
21255080,34.3063279112264,34.29359882609556,34.33068903175201,34.301839654528905
23065060,18.840563540544068,18.822274076657898,18.973152972524204,18.780441977675316
23065100,17.77869882245119,17.629262881174864,18.07787405401098,17.71875760398673
23065120,21.725250790383043,21.542004470062405,22.070043295797333,21.663887336629628
23065200,29.37865656513372,29.22587901489354,29.64207485657204,29.34072079001076
23125070,20.67731782152283,20.471774644400536,21.07916675647854,20.60018113128279
23125170,14.039352109718761,14.048878031495645,14.037520184426745,14.033691523385551
24015380,16.877771567826905,16.96592048131722,16.904207115859357,16.801527776965845
35025050,13.704309919225327,13.847450805141829,13.663658764912281,13.62646943395597
35025060,12.211813296986179,12.217957879070292,12.210256187125033,12.208368499950934
35035030,28.317612463030134,28.32612090467215,28.32737609111896,28.306286558431868
35065010,24.05328604056763,24.186282624728594,24.01796729548038,23.97961374145295
