Station,StdAggComposite,StdAggNina,StdAggNino,StdAggNeutral
21170020,211.02975855118083,270.8939032762372,137.98504719388228,183.2898649138599
21190030,193.47188878609094,204.30170352138526,230.6877198256066,142.16331626576596
21190060,419.430168354008,179.06641783094258,506.78757302578765,463.87943094860384
21190210,415.9283012477277,517.9602114862276,321.6119703895187,355.9250569332403
21190300,905.386846337819,1154.3172134087838,768.2374800360814,737.9083918048177
21190310,357.9113453483385,374.98947596877383,227.22244122053976,302.42159345992167
21190460,233.3931778520206,245.57181044678788,222.62196675049506,215.8748431503695
21190470,138.4720387167712,179.2270145406951,109.15944997335183,100.94770383828977
21195030,174.83937499354516,181.6828654279041,133.83145774065383,141.06651698212872
21195120,295.23786900889064,299.24403606285665,200.16084832565974,269.0094090294569
21195140,234.41675717204598,241.33321104626322,92.80820543586273,263.0715716256439
21195190,187.62768562215007,208.98669515067553,141.99898143040576,141.33960097157555
21200080,217.62448144458625,307.87185600595654,175.47312587300544,149.08761257890745
21200110,140.4282131326121,159.60553928794084,93.50033403416585,124.63600981811838
21200130,179.12324532520267,214.66063425589527,153.88284686084265,168.40964176817099
21200160,246.2139399906784,276.6061246525773,200.83951981318975,236.19892433217387
21200190,179.8566426912816,159.67347711182384,253.20191058422373,141.0136445107978
21200200,144.90459478129011,168.97510068249105,122.65207691386341,122.25475838077736
21200230,261.38500055378455,348.8481083537611,160.4331561406219,144.0285199578739
21200240,169.78183067087215,229.0379433376332,115.31575276872756,127.77900058451763
21200260,207.92513693166615,283.59440132805133,93.2013633697066,145.32184913452517
21200270,149.99897853777568,140.45778521794355,139.47625458553185,170.04544222395302
21200310,186.9793068631267,195.550540564496,162.64853235030432,172.89003032909696
21200320,191.82098437091798,231.43869102887982,139.93219413877745,148.6847049319952
21200340,115.38072217018164,139.38739742828423,132.737570916449,71.03007025489151
21200380,246.17709691067827,126.75626434106343,386.33399068392015,210.51792217015162
21200400,220.1738475070715,234.77942791346916,141.14849318054596,199.05766801070516
21200430,134.88731874513704,130.8623102102214,90.82120907106584,140.4684863092196
21200510,146.4203981402212,173.65752278989635,151.53555131835665,88.55019774796193
21200520,169.7784511300251,188.49924336420037,151.66467887484376,111.6278846824314
21200550,263.73880422463316,212.6425457180806,155.7930216629264,321.7682073097792
