Station,StdAggComposite,StdAggNina,StdAggNino,StdAggNeutral
21195190,99111.0349780371,118392.18401017734,117492.33787420731,82304.74090784977
21206930,47595.88368993824,49115.60945260184,29979.508156961703,56247.59762479799
21206950,70322.92721791157,56686.34922939844,8802.722052845855,90815.02392073296
21206980,34197.82332739354,34780.705723637686,59733.087164899945,15840.381056502847
21206990,95640.01743610791,114023.56103616522,145243.20985742012,45846.92151109649
24015110,124987.97664252813,93463.22175364719,130613.7698991019,153497.64347476102
35035130,28099.644312599205,32181.151635064398,42179.92777614645,16625.393667464556
