Station,AggComposite,AggNina,AggNino,AggNeutral
21170020,1208.97823154374,1265.1420882379477,1110.8293229660123,1225.2751204679673
21190030,1148.5193964986,1233.41385589069,1122.846183655711,1098.1795581531846
21190060,1589.013869486237,1742.0330138999468,1394.1728745564462,1589.068476288223
21190210,1466.203356538887,1623.66345488014,1324.9005621082938,1430.0860988699415
21190300,2138.676388653957,2444.3610692353263,1969.3992553108153,2004.3687741337
21190310,1715.2908954120394,1903.1159472326804,1419.0676011811872,1750.2300904703948
21190460,1127.770932605053,1199.8151187201695,1014.823776901439,1140.7598274455042
21190470,897.6584895511735,946.1449248788812,823.0050771068057,905.5683474567371
21195030,1063.5343461193122,1166.07530545626,932.0528382552985,1064.1300769963614
21195120,1378.6852782488988,1505.516537364311,1144.190107911809,1423.3413474762435
21195140,702.5446061401876,820.3458894264153,643.4004956678947,647.0650088728561
21195190,893.2996521926543,994.5219915638447,750.3545454545455,901.9265090216836
21200080,1301.8971159362598,1319.7081826789836,1232.934464985192,1330.1879062731266
21200110,783.5962748327172,867.016238696907,735.367656126777,748.1871254808669
21200130,1274.6348204714457,1261.1418834536883,1242.98116031469,1304.4732304699412
21200160,1107.2895522908138,1080.6399799116537,1018.0073439098477,1182.5783470407512
21200190,1468.89780689537,1443.1198238559734,1437.3863962719417,1508.204322418107
21200200,856.6154317681236,905.4062484253408,776.4649443176561,867.6478722544625
21200230,1077.704887863878,1219.7339703279097,888.3176364433199,1082.9744773710834
21200240,1347.22571377241,1398.603595714423,1262.6170753648678,1358.970417955454
21200260,1012.1633713063376,1123.5191489862577,896.938644856081,995.968432608222
21200270,776.7083043886437,771.6207659722673,789.468939111169,772.8671130487265
21200310,942.7843357495917,1020.9690502180027,841.4484336679271,943.9014979907333
21200320,1172.652815328237,1266.848006970098,1054.6395324238508,1171.5091169372474
21200340,1017.2703762897072,1053.2246726284268,968.2551334495125,1019.2596830952662
21200380,226.51708204508415,211.1295467714849,303.4455191708567,191.47334234768928
21200400,1129.652975590072,1257.7900468138882,990.5424947217507,1115.0027696133004
21200430,677.0138305655324,754.0578360586227,635.0031198723917,642.7639272722708
21200510,637.1165494137454,705.7509251768805,552.1145052775985,635.6799507922852
21200520,704.4879657624911,804.2892883374062,581.1509241058067,702.2373514388644
21200550,909.9443426919669,1036.0567026562678,855.1914135115214,845.3170749966722
21200600,1035.4465120374898,1109.6006972696584,933.3173377556394,1040.1833078069342
21200620,1341.6757036749489,1227.3880110984599,1384.0826605242698,1404.6507687154096
21200690,961.5327079014876,1101.293966795123,844.7900087776703,924.1722671154376
21200740,690.433101760611,848.8126513940872,491.4578198558315,688.8450132097166
21200750,573.3771258888482,608.9533059207528,493.2992213582896,594.6432608549308
21200770,912.2261534585131,1004.6301516389896,731.008217460235,951.10067131709
21200780,1214.224836660325,1131.1479081183713,1227.3751755663159,1270.8039073059608
21200850,1004.6818398408689,847.7129152618267,1037.026815751758,1107.0024070123568
21200880,852.4487369420149,917.871454742931,773.3790776660065,849.8847482099743
21200960,781.9878229543853,858.2079417490515,724.1141935166258,758.0727263260532
21201030,877.1407675255291,939.4032906800938,932.2838433586651,795.0158142850627
21201040,803.8015031394374,863.8819039568247,701.8935907045133,819.3493601028115
21201050,960.055807037315,1050.1606598991025,824.2672909823433,972.9561257339624
21201060,1214.1589668480005,1307.6167716308896,1049.156899277873,1242.3041599763867
21201070,877.1917834663337,970.0378570559142,755.3106082063227,879.4611111111112
21201100,1136.137045071919,1074.0026022681197,1076.0255208123654,1221.1986543001574
21201110,1206.9396252045524,1243.254000737515,1119.8035303652287,1231.9449466362794
21201140,674.1936040280865,811.3920472777207,570.7121044669151,630.7223978990871
21201180,859.8396585943082,946.0729943211824,732.9497954160447,870.3130916379002
21201190,849.5867099057651,953.583160884148,753.6399579337608,827.3347075721373
21201200,839.2650162762133,840.6649087069221,746.6322782529256,894.7851065110045
21201210,765.741753196683,860.162819008075,647.5636363636363,764.5231067413511
21201240,689.6995938334616,744.699820094908,596.1554437931397,704.0875095436445
21201250,753.8509686635687,813.9876619362873,672.271239161439,756.9322641471998
21201260,1840.617800196943,2039.3166814211322,1604.6936277826428,1830.2501090535359
21201270,886.2343793644825,970.1375872974924,752.607961477722,902.6369174584955
21201300,1201.9840196909734,1240.0926314895073,1121.144878370862,1221.745685765515
21201310,714.6730825721684,782.8304088829775,610.6482299774702,725.2325720271881
21201320,736.4210410106593,770.3659078211691,637.6750613368935,770.3642432920091
21201330,973.4606548084006,1012.2307890527076,896.8401127679932,990.1297705319661
21201340,681.7019710695877,749.8099787143883,576.4102118542022,693.0740401997003
21201360,748.1200423509423,844.158597414864,574.9734423390295,779.2351995307278
21201370,1553.161018859941,1677.705097345637,1520.8792358572186,1476.0211585393972
21201410,823.6151472958798,885.1677965042278,711.0971222743948,844.5018798691832
21201550,863.5088162967651,970.0681582604132,724.8525791967824,865.3636952194724
21201560,522.159043874132,577.4978991260335,456.46733448876546,519.2626455248216
21201590,670.7939851874086,728.9569009409677,619.8923948830001,656.6626892317788
21201600,1087.1142956958042,1225.534881846704,936.0037478841666,1071.7991745744382
21201610,778.436693971249,828.4282316398759,685.0128339625651,796.6467457898459
21201630,919.1636066683735,1032.3361681372091,727.9984503101634,947.9636544115183
21201640,762.3353695328547,857.3845632021383,640.1417496750814,763.0820977031616
21201650,772.1422827100553,794.6971234118073,733.1441220669846,778.4318381127911
21201660,501.031693606341,553.3226131104707,429.99787606563245,503.7705336002283
21201710,997.1940168552159,985.9853589659416,974.3145865047816,1019.8937359832503
21201770,222.2673078632997,358.2394615412986,94.94003763765171,194.32229791830738
21201800,958.1234817330554,1002.0229956632929,838.8019276608932,996.8981428314144
21201850,828.5837983966935,1059.5581110902247,587.480056812155,796.278286158943
21201880,448.2508206547301,540.2197916839201,357.705613605975,432.0525808284883
21201920,923.8378820850808,1069.9300871263777,700.0243043674697,946.9855756581676
21201960,897.400431433687,918.6854969898155,794.391877370828,943.7950523728897
21201970,603.8170505668883,660.5065293242777,536.868633007512,600.6381555974262
21201980,1076.0761554258213,1168.963008969957,955.276558445309,1077.652800824029
21202000,950.2234614700262,957.9215059578455,908.1224796796403,969.9644712958468
21202020,997.7186480375182,1088.93613470776,909.5915676997955,980.6271519448279
21202040,1127.8434575368685,1154.7382707823156,1063.6035960165934,1146.1829626083563
21202050,744.558092279424,804.8428545368475,667.3815429261173,744.8333906840047
21202070,729.5045055864135,828.5754275824726,612.5003053496457,723.9519108452812
21202080,904.0350019342434,1003.2949714413863,800.7834091457115,889.9309990216802
21202110,601.0635923999436,634.6011532978436,546.2280388099726,608.4894388954483
21202120,715.5630430507225,840.5634948242371,628.0100120815497,671.8450994858164
21202130,869.8705550364497,979.5017515068308,747.2853002474981,859.5150579305118
21202160,1689.9800454973827,1844.235227094361,1481.2173547231566,1697.5809930617602
21205160,734.9280288938353,787.1757360746326,659.1987107265675,740.5699510776566
21205230,1055.1849884522392,1171.2552465450765,917.6749533964638,1048.942031358562
21205240,1149.9013804636597,1249.2362667687469,1042.2827942431304,1138.407827138916
21205390,1043.175025007912,1071.1553601580058,998.8285188226126,1048.5131847821885
21205400,665.9972223213613,744.7873414872303,539.2653609012159,682.16326717133
21205410,993.6627169507042,1054.689583351962,880.1704043124574,1015.55378969532
21205420,709.4467446840671,793.3346561069881,604.8083878884058,708.1462538413666
21205480,820.6820292539484,867.0771445289683,744.6017552953631,831.0904403480672
21205520,876.3381468408223,986.9858138208339,739.5925503164344,873.8456037323845
21205570,789.1369790382596,836.326521369304,707.5739643232159,802.2780662177514
21205590,817.0156398227832,891.6359180193343,723.3148581738702,816.2392344553566
21205610,546.3524574857563,581.8602481492878,495.422380623179,549.8592228301404
21205650,735.601480908004,865.5369204493356,623.9826893547571,702.7520672139522
21205660,1170.8249804712743,1271.242588222167,1044.9414208722324,1169.6512386422164
21205690,870.329411737423,994.6908296146411,779.9480404397516,828.8369247370523
21205710,1062.5910417362886,1234.7711983231477,874.8215867370327,1043.4211424460545
21205720,774.8969472772728,860.4914565017671,691.1956559398312,759.4742292533255
21205740,995.4861289507897,960.9015435670875,991.8288892469723,1024.6202307348917
21205791,862.1281987428908,969.2467409094944,725.7183469347704,862.1753531627185
21205940,806.7217605234462,867.3245339625406,700.9434633054177,824.2285628151673
21205980,862.2542960701754,977.2642857142856,729.3048742104845,854.0489508167896
21206050,906.6201940733878,986.1534046730987,810.4140055047327,903.5537010655693
21206080,1640.3639471194642,1792.6809185556563,1494.1530972900257,1611.2462664537495
21206180,1007.4133143049814,1119.2251278683598,846.6167853938986,1018.7131158680152
21206260,853.7554698502476,917.4433601618911,748.1589717175852,868.7516373555959
21206290,844.8708485078996,902.6174416589041,773.2970675514396,843.6963644194002
21206300,620.5350579963617,687.4101706662893,550.5828763305009,611.2696369377775
21206400,1118.009128321541,1176.2318826074152,1037.246926953934,1122.0794424905098
21206560,673.6406443888351,761.4894607707512,574.4291577172045,665.9430290577861
21206590,932.3775129156303,913.6923934580861,953.740612075105,933.8551563407075
21206600,862.5837905108152,945.2178913448433,725.5529413077852,882.0538977084226
21206650,1064.3607706276616,1093.1616839291587,1012.9103908360444,1073.4019590435967
21206690,869.3973477622751,1000.9482749218985,717.5380862786346,859.882841989237
21206980,1152.8776870031536,1191.2970057268117,1057.8058738632274,1181.0954360258186
21230060,1269.5916239384837,1287.6937578670604,1212.702474474177,1290.2777777777776
21230070,1248.8373024684595,1334.4247874442085,1191.4302150530489,1217.3513675745169
21230090,1628.3487957858126,1699.0284874216097,1426.4037973550105,1696.786534665683
21230110,1280.5849579692608,1357.938555028868,1227.652517230626,1252.7686518187327
21230120,1579.1574943519224,1730.6721125489491,1365.4352436344002,1591.9208334149419
21235010,1006.298884424365,1031.0994342314827,949.4990422335627,1021.720582579876
21250430,1338.3004576172802,1423.0488326939376,1240.2679551628887,1332.2938062797866
21250540,1265.262105228899,1349.589629503114,1115.1110854365454,1291.4329873331694
21250570,1325.5917186524932,1398.7229330669618,1259.4339199623516,1309.1416510852155
21250580,1274.90796143304,1366.4795282560922,1138.3755385868774,1287.1221123099883
21250590,1216.7383172773827,1321.2916450578318,1149.2892908781764,1176.6379118032146
21250610,1145.0997660737996,1211.2595104263735,1053.3222416082092,1149.728452084103
23025020,1526.2560042269124,1694.2089754363737,1274.8145146415975,1549.2846035883567
23060050,2721.2192711192492,2955.2033789454786,2439.015185519613,2711.689684009737
23060060,1569.7469897186445,1610.9803493869185,1527.857019755453,1563.2760249541595
23060140,1539.7201168081901,1648.591402147367,1409.200055298188,1534.8047102449427
23060180,2435.818499404272,2611.7782481702666,2171.2272727272725,2460.6555555555556
23060190,1339.813073170374,1430.3982101723736,1256.409090909091,1320.3270668840473
23060200,2022.988553835546,2102.9747815482733,1841.8278452675602,2071.4863652949734
23060260,1831.2795637676236,1965.8877592725275,1645.2591149910652,1840.2634637383735
23060290,2428.4208613300643,2677.9946203338686,2199.691556765683,2374.0869571164494
23060370,2335.14001970288,2543.0569631527555,2105.60559323516,2313.6978798610276
23065060,1301.344492530741,1389.321239713486,1176.0289701469867,1309.4998417342338
23065070,1347.5250267865977,1501.8382795037162,1192.4890155043827,1322.2478371235263
23065100,1499.0767121909387,1600.516332039398,1316.360921868514,1531.8388797280631
