Station,AggComposite,AggNina,AggNino,AggNeutral
21195190,67746.07830135497,85292.92104500234,66355.26720355591,53087.99644956307
21206930,45167.3320933697,48559.003914277826,28288.0,50639.28529675994
21206950,54385.76166533995,51496.79625252327,11951.732743671779,78130.62086238863
21206980,26248.52843142417,30507.64975685367,37493.89578562086,16899.11359457501
21206990,61590.54434746385,76364.41428571429,85165.92595550718,36875.717347473044
24015110,96558.78574884907,75768.28571428571,72441.15513633032,126809.28858535137
35035130,69747.14882353361,69057.65475866194,59184.811583891205,75631.62475011754
