,CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion,SatValue,SatDesc
490,21201920,ALTO SAN MIGUEL [21201920],4.449666667,-74.29972222,2750,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Cundinamarca,Sibaté,1993-05-15,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2018-07-01,65.4,50,ESTIMADO,900,66.18674,chirps-v2.0.2018.07.tif
1098,35060200,AMOLADERO EL [35060200],4.857972222,-73.74538889,2963,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Cundinamarca,Guatavita,1972-04-15,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2018-07-01,384.4,50,,900,134.0357,chirps-v2.0.2018.07.tif
1875,21230090,ARRANCAPLUMAS [21230090],5.20275,-74.72927778,235,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Cundinamarca,Guaduas,1980-04-15,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2018-07-01,87.1,50,,1200,69.586655,chirps-v2.0.2018.07.tif
2710,21205770,BASE AEREA MADRID [21205770],4.728805556,-74.2725,2550,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Cundinamarca,Madrid,1974-07-15,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2018-07-01,37.1,41,,900,51.372852,chirps-v2.0.2018.07.tif
3001,21190460,BATAN [21190460],4.35,-74.4,2240,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Cundinamarca,Pasca,1997-07-15,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2018-07-01,101.6,50,,900,32.961132,chirps-v2.0.2018.07.tif
3428,21230120,BELLEZA LA [21230120],4.985388889,-74.58111111,1200,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Cundinamarca,Chaguaní,1986-12-15,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2018-07-01,41.0,50,,900,33.18143,chirps-v2.0.2018.07.tif
4549,21195120,ITA VALSALICE  - AUT [21195120],4.39292,-74.39272,1421,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Cundinamarca,Silvania,1989-02-15,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2018-07-01,35.8,50,ESTIMADO,900,54.351963,chirps-v2.0.2018.07.tif
5106,21235010,JERUSALEN [21235010],4.561805556,-74.70238889,297,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Cundinamarca,Jerusalén,1974-11-15,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2018-07-01,16.4,50,,1200,51.95196,chirps-v2.0.2018.07.tif
5834,35060050,JUNIN [35060050],4.792222222,-73.66872222,2323,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Cundinamarca,Junín,1962-05-15,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2018-07-01,176.8,50,,900,201.83948,chirps-v2.0.2018.07.tif
6726,21205910,LA COSECHA - AUT [21205910],4.98922,-74.00119,2570,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Cundinamarca,Zipaquirá,1976-09-15,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2018-07-01,70.0,50,,900,83.07892,chirps-v2.0.2018.07.tif
8603,21201190,LAGUNITAS [21201190],5.214527778,-73.90725,3100,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Cundinamarca,Tausa,1985-03-15,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2018-07-01,71.5,50,,900,40.96542,chirps-v2.0.2018.07.tif
9033,35030080,LAS CASAS [35030080],4.441166667,-73.93638889,2100,Pluviográfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Cundinamarca,Cáqueza,1986-05-15,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2018-07-01,183.2,50,ESTIMADO,900,164.6784,chirps-v2.0.2018.07.tif
9611,24010070,LETICIA [24010070],5.303194444,-73.70975,2650,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Cundinamarca,Lenguazaque,1974-02-15,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2018-07-01,38.3,50,,900,40.46656,chirps-v2.0.2018.07.tif
10062,35025050,LLANO LARGO [35025050],4.482833333,-74.03027778,2980,Climática Ordinaria,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Cundinamarca,Ubaque,1986-04-15,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2018-07-01,238.2,4,,900,113.814,chirps-v2.0.2018.07.tif
10609,21201050,LOURDES [21201050],4.982888889,-73.86466667,2750,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Cundinamarca,Gachancipá,1985-03-15,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2018-07-01,105.8,50,,900,78.22745,chirps-v2.0.2018.07.tif
11113,35070230,MACHETA GRANJA AGROP [35070230],5.075111111,-73.57941667,1815,Pluviográfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Cundinamarca,Machetá,1979-12-15,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2018-07-01,202.4,41,,900,170.89024,chirps-v2.0.2018.07.tif
12362,21205660,MERCEDES - AUT [21205660],4.5791,-74.52318,765,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Cundinamarca,Anapoima,1970-09-15,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2018-07-01,47.6,50,,900,53.76168,chirps-v2.0.2018.07.tif
13417,35060130,MINAS LAS [35060130],4.675166667,-73.48213889,23,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas,Cundinamarca,Gachalá,1973-04-15,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2018-07-01,581.4,50,,900,296.59723,chirps-v2.0.2018.07.tif
14481,35020010,MONTERREDONDO [35020010],4.2483,-73.8187,1467,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 03 - Meta-Guaviare-Guainía,Cundinamarca,Guayabetal,1951-07-15,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2018-07-01,386.0,50,,1200,375.17746,chirps-v2.0.2018.07.tif
15771,21230110,NARINO RADIO [21230110],4.387805556,-74.838166667,262,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Cundinamarca,Nariño,1980-01-15,,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2018-07-01,96.1,50,,900,40.220837,chirps-v2.0.2018.07.tif
